Season,Name,ERA,K9,BB9,HR9
2017,Martin Perez,4.82,5.59,3.06,1.12
2017,Andrew Cashner,3.4,4.64,3.46,0.81
2011,Paul Maholm,3.66,5.38,2.77,0.61
2015,Chris Tillman,4.99,6.24,3.33,1.04
2011,Trevor Cahill,4.16,6.37,3.55,0.82
2014,Francisco Liriano,3.38,9.7,4.49,0.72
2014,Wily Peralta,3.53,6.98,2.76,1.04
2010,Chris Narveson,4.99,7.35,3.17,1.13
2015,Trevor Bauer,4.55,8.69,4.04,1.18
2011,Charlie Morton,3.83,5.77,4.04,0.31
2012,Dan Haren,4.33,7.23,1.94,1.43
2010,Jake Westbrook,4.22,5.68,3.02,0.89
2011,Livan Hernandez,4.47,5.08,2.36,0.82
2016,Mike Fiers,4.48,7.15,2.24,1.39
2015,Marco Estrada,3.13,6.51,2.73,1.19
2010,Barry Zito,4.15,6.77,3.79,0.9
2013,Wade Miley,3.55,6.53,2.93,0.93
2011,Wandy Rodriguez,3.49,7.82,3.25,1.18
2013,Tim Lincecum,4.37,8.79,3.46,0.96
2010,Jon Niese,4.2,7.67,3.21,1.04
2010,Bronson Arroyo,3.88,5.05,2.46,1.21
2011,Luke Hochevar,4.68,5.82,2.82,1.05
2010,Rick Porcello,4.92,4.65,2.1,1
2011,Jeremy Hellickson,2.95,5.57,3.43,1
2016,Kendall Graveman,4.11,5.23,2.27,1.06
2010,Joe Blanton,4.82,6.87,2.2,1.38
2015,Jeff Locke,4.49,6.9,3.21,0.8
